"PFAM_IDs","classified_ancestor"
"PF00140","LBCA"
"PF00148","LBCA"
"PF00158","LBCA"
"PF00166","LBCA"
"PF00173","LBCA"
"PF00182","LBCA"
"PF00183","preLBCA"
"PF00186","preLBCA"
"PF00190","preLBCA"
"PF00194","LBCA"
"PF00195","LBCA"
"PF00196","preLBCA"
"PF00199","LBCA"
"PF00201","LBCA"
"PF00207","preLBCA"
"PF00209","LBCA"
"PF00213","LBCA"
"PF00216","LBCA"
"PF00218","LBCA"
"PF00221","preLBCA"
"PF00227","LBCA"
"PF00231","LBCA"
"PF00232","preLBCA"
"PF00245","preLBCA"
"PF00251","preLBCA"
"PF00254","LBCA"
"PF00258","LBCA"
"PF00263","LBCA"
"PF00264","LBCA"
"PF00265","LBCA"
"PF00268","preLBCA"
"PF00274","LBCA"
"PF00275","LBCA"
"PF00276","LBCA"
"PF00295","preLBCA"
"PF00296","preLBCA"
"PF00298","LBCA"
"PF00301","LBCA"
"PF00302","LBCA"
"PF00303","LBCA"
"PF00308","LBCA"
"PF00311","LBCA"
"PF00316","LBCA"
"PF00317","LBCA"
"PF00325","LBCA"
"PF00331","preLBCA"
"PF00342","preLBCA"
"PF00348","preLBCA"
"PF00351","LBCA"
"PF00356","preLBCA"
"PF00359","LBCA"
"PF00360","LBCA"
"PF00365","preLBCA"
"PF00366","LBCA"
"PF00375","LBCA"
"PF00376","LBCA"
"PF00378","LBCA"
"PF00381","LBCA"
"PF00388","preLBCA"
"PF00390","LBCA"
"PF00392","LBCA"
"PF00393","preLBCA"
"PF00394","LBCA"
"PF00395","LBCA"
"PF00404","preLBCA"
"PF00406","LBCA"
"PF00408","LBCA"
"PF00415","LBCA"
"PF00425","LBCA"
"PF00430","LBCA"
"PF00432","preLBCA"
"PF00436","preLBCA"
"PF00444","LBCA"
"PF00449","preLBCA"
"PF00455","preLBCA"
"PF00457","LBCA"
"PF00460","preLBCA"
"PF00462","LBCA"
"PF00468","preLBCA"
"PF00471","LBCA"
"PF00472","LBCA"
"PF00474","preLBCA"
"PF00479","LBCA"
"PF00480","preLBCA"
"PF00481","LBCA"
"PF00485","LBCA"
"PF00486","preLBCA"
"PF00487","preLBCA"
"PF00490","preLBCA"
"PF00494","preLBCA"
"PF00498","LBCA"
"PF00499","LBCA"
"PF00520","LBCA"
"PF00521","preLBCA"
"PF00529","preLBCA"
"PF00532","LBCA"
"PF00533","preLBCA"
"PF00542","LBCA"
"PF00544","LBCA"
"PF00545","LBCA"
"PF00547","preLBCA"
"PF00550","preLBCA"
"PF00560","LBCA"
"PF00563","LBCA"
"PF00570","LBCA"
"PF00571","LBCA"
"PF00574","LBCA"
"PF00585","LBCA"
"PF00639","LBCA"
"PF00648","LBCA"
"PF00657","preLBCA"
"PF00664","preLBCA"
"PF00667","LBCA"
"PF00668","LBCA"
"PF00669","LBCA"
"PF00670","preLBCA"
"PF00675","LBCA"
"PF00676","LBCA"
"PF00677","LBCA"
"PF00679","LBCA"
"PF00685","preLBCA"
"PF00686","LBCA"
"PF00691","preLBCA"
"PF00694","LBCA"
"PF00698","LBCA"
"PF00699","LBCA"
"PF00700","LBCA"
"PF00704","LBCA"
"PF00710","LBCA"
"PF00717","preLBCA"
"PF00722","preLBCA"
"PF00723","LBCA"
"PF00728","preLBCA"
"PF00732","LBCA"
"PF00741","LBCA"
"PF00743","LBCA"
"PF00746","LBCA"
"PF00754","preLBCA"
"PF00756","preLBCA"
"PF00759","preLBCA"
"PF00762","LBCA"
"PF00768","LBCA"
"PF00771","LBCA"
"PF00772","LBCA"
"PF00775","preLBCA"
"PF00781","preLBCA"
"PF00793","LBCA"
"PF00797","LBCA"
"PF00801","preLBCA"
"PF00805","LBCA"
"PF00814","LBCA"
"PF00815","LBCA"
"PF00817","preLBCA"
"PF00821","LBCA"
"PF00825","preLBCA"
"PF00830","LBCA"
"PF00831","LBCA"
"PF00842","LBCA"
"PF00847","LBCA"
"PF00849","LBCA"
"PF00852","preLBCA"
"PF00854","preLBCA"
"PF00856","LBCA"
"PF00860","LBCA"
"PF00861","LBCA"
"PF00862","LBCA"
"PF00871","LBCA"
"PF00872","preLBCA"
"PF00873","preLBCA"
"PF00882","LBCA"
"PF00886","LBCA"
"PF00889","LBCA"
"PF00893","LBCA"
"PF00905","LBCA"
"PF00912","LBCA"
"PF00916","LBCA"
"PF00919","LBCA"
"PF00923","LBCA"
"PF00925","LBCA"
"PF00929","preLBCA"
"PF00931","preLBCA"
"PF00933","preLBCA"
"PF00936","LBCA"
"PF00939","LBCA"
"PF00941","LBCA"
"PF00942","LBCA"
"PF00953","LBCA"
"PF00959","LBCA"
"PF00962","LBCA"
"PF00963","preLBCA"
"PF00975","LBCA"
"PF00982","LBCA"
"PF00984","LBCA"
"PF00990","LBCA"
"PF01010","LBCA"
"PF01011","LBCA"
"PF01014","LBCA"
"PF01018","LBCA"
"PF01019","preLBCA"
"PF01027","LBCA"
"PF01028","LBCA"
"PF01029","preLBCA"
"PF01035","LBCA"
"PF01043","LBCA"
"PF01051","LBCA"
"PF01052","LBCA"
"PF01055","preLBCA"
"PF01059","LBCA"
"PF01062","LBCA"
"PF01063","LBCA"
"PF01068","LBCA"
"PF01076","LBCA"
"PF01078","LBCA"
"PF01081","LBCA"
"PF01084","LBCA"
"PF01087","LBCA"
"PF01095","preLBCA"
"PF01098","preLBCA"
"PF01103","LBCA"
"PF01112","LBCA"
"PF01116","LBCA"
"PF01120","preLBCA"
"PF01121","LBCA"
"PF01126","LBCA"
"PF01128","preLBCA"
"PF01132","preLBCA"
"PF01135","preLBCA"
"PF01136","LBCA"
"PF01137","LBCA"
"PF01138","LBCA"
"PF01139","preLBCA"
"PF01148","LBCA"
"PF01149","preLBCA"
"PF01152","preLBCA"
"PF01156","preLBCA"
"PF01165","LBCA"
"PF01169","LBCA"
"PF01171","LBCA"
"PF01175","LBCA"
"PF01179","preLBCA"
"PF01180","preLBCA"
"PF01182","LBCA"
"PF01183","LBCA"
"PF01187","LBCA"
"PF01196","LBCA"
"PF01197","LBCA"
"PF01202","preLBCA"
"PF01204","preLBCA"
"PF01210","LBCA"
"PF01223","LBCA"
"PF01225","LBCA"
"PF01226","LBCA"
"PF01227","LBCA"
"PF01228","LBCA"
"PF01229","LBCA"
"PF01232","LBCA"
"PF01235","preLBCA"
"PF01245","LBCA"
"PF01250","LBCA"
"PF01252","LBCA"
"PF01255","LBCA"
"PF01256","LBCA"
"PF01258","LBCA"
"PF01262","preLBCA"
"PF01263","preLBCA"
"PF01270","LBCA"
"PF01272","LBCA"
"PF01274","LBCA"
"PF01278","LBCA"
"PF01281","LBCA"
"PF01288","LBCA"
"PF01289","LBCA"
"PF01293","LBCA"
"PF01301","LBCA"
"PF01312","LBCA"
"PF01313","LBCA"
"PF01327","LBCA"
"PF01330","LBCA"
"PF01337","preLBCA"
"PF01341","LBCA"
"PF01343","preLBCA"
"PF01344","LBCA"
"PF01346","preLBCA"
"PF01348","LBCA"
"PF01361","LBCA"
"PF01364","preLBCA"
"PF01367","LBCA"
"PF01379","LBCA"
"PF01400","LBCA"
"PF01401","LBCA"
"PF01416","LBCA"
"PF01424","LBCA"
"PF01427","preLBCA"
"PF01431","LBCA"
"PF01433","LBCA"
"PF01434","LBCA"
"PF01443","LBCA"
"PF01446","LBCA"
"PF01447","LBCA"
"PF01450","LBCA"
"PF01455","LBCA"
"PF01457","LBCA"
"PF01458","LBCA"
"PF01464","LBCA"
"PF01471","LBCA"
"PF01475","LBCA"
"PF01476","LBCA"
"PF01478","LBCA"
"PF01483","LBCA"
"PF01496","LBCA"
"PF01501","preLBCA"
"PF01502","LBCA"
"PF01510","preLBCA"
"PF01512","LBCA"
"PF01515","preLBCA"
"PF01520","LBCA"
"PF01526","preLBCA"
"PF01527","preLBCA"
"PF01531","LBCA"
"PF01535","LBCA"
"PF01553","preLBCA"
"PF01554","preLBCA"
"PF01565","LBCA"
"PF01566","preLBCA"
"PF01580","LBCA"
"PF01583","LBCA"
"PF01584","LBCA"
"PF01595","LBCA"
"PF01610","preLBCA"
"PF01612","preLBCA"
"PF01614","preLBCA"
"PF01618","preLBCA"
"PF01619","LBCA"
"PF01628","LBCA"
"PF01632","LBCA"
"PF01633","LBCA"
"PF01642","LBCA"
"PF01643","LBCA"
"PF01648","LBCA"
"PF01649","LBCA"
"PF01653","LBCA"
"PF01654","LBCA"
"PF01668","preLBCA"
"PF01679","LBCA"
"PF01687","LBCA"
"PF01695","LBCA"
"PF01704","LBCA"
"PF01709","LBCA"
"PF01712","LBCA"
"PF01715","LBCA"
"PF01722","LBCA"
"PF01725","LBCA"
"PF01726","preLBCA"
"PF01730","LBCA"
"PF01734","preLBCA"
"PF01739","LBCA"
"PF01740","preLBCA"
"PF01741","LBCA"
"PF01743","LBCA"
"PF01746","LBCA"
"PF01747","LBCA"
"PF01755","preLBCA"
"PF01761","LBCA"
"PF01764","LBCA"
"PF01765","LBCA"
"PF01773","LBCA"
"PF01774","LBCA"
"PF01782","LBCA"
"PF01783","LBCA"
"PF01790","LBCA"
"PF01794","LBCA"
"PF01797","preLBCA"
"PF01804","LBCA"
"PF01807","LBCA"
"PF01809","LBCA"
"PF01810","LBCA"
"PF01812","preLBCA"
"PF01813","LBCA"
"PF01814","LBCA"
"PF01820","LBCA"
"PF01823","LBCA"
"PF01832","LBCA"
"PF01833","LBCA"
"PF01835","LBCA"
"PF01871","LBCA"
"PF01875","preLBCA"
"PF01881","LBCA"
"PF01883","LBCA"
"PF01885","LBCA"
"PF01887","LBCA"
"PF01888","LBCA"
"PF01891","LBCA"
"PF01894","preLBCA"
"PF01899","LBCA"
"PF01906","LBCA"
"PF01910","LBCA"
"PF01914","LBCA"
"PF01915","LBCA"
"PF01924","LBCA"
"PF01928","LBCA"
"PF01931","LBCA"
"PF01937","LBCA"
"PF01957","LBCA"
"PF01963","LBCA"
"PF01967","preLBCA"
"PF01969","LBCA"
"PF01975","LBCA"
"PF02012","LBCA"
"PF02018","preLBCA"
"PF02021","preLBCA"
"PF02026","LBCA"
"PF02028","LBCA"
"PF02033","LBCA"
"PF02050","LBCA"
"PF02055","LBCA"
"PF02065","preLBCA"
"PF02073","LBCA"
"PF02074","LBCA"
"PF02075","LBCA"
"PF02082","LBCA"
"PF02085","preLBCA"
"PF02113","LBCA"
"PF02120","LBCA"
"PF02126","LBCA"
"PF02127","LBCA"
"PF02128","LBCA"
"PF02152","LBCA"
"PF02190","LBCA"
"PF02222","LBCA"
"PF02225","LBCA"
"PF02230","preLBCA"
"PF02237","LBCA"
"PF02239","LBCA"
"PF02245","preLBCA"
"PF02253","LBCA"
"PF02256","LBCA"
"PF02261","preLBCA"
"PF02265","LBCA"
"PF02275","preLBCA"
"PF02277","LBCA"
"PF02278","LBCA"
"PF02281","LBCA"
"PF02283","LBCA"
"PF02311","preLBCA"
"PF02321","preLBCA"
"PF02322","LBCA"
"PF02325","LBCA"
"PF02335","LBCA"
"PF02347","LBCA"
"PF02353","LBCA"
"PF02355","LBCA"
"PF02357","LBCA"
"PF02358","LBCA"
"PF02366","LBCA"
"PF02367","preLBCA"
"PF02368","preLBCA"
"PF02369","preLBCA"
"PF02371","preLBCA"
"PF02388","LBCA"
"PF02390","preLBCA"
"PF02391","LBCA"
"PF02397","preLBCA"
"PF02401","LBCA"
"PF02403","preLBCA"
"PF02405","LBCA"
"PF02410","LBCA"
"PF02411","LBCA"
"PF02415","LBCA"
"PF02416","LBCA"
"PF02424","LBCA"
"PF02426","LBCA"
"PF02433","LBCA"
"PF02436","preLBCA"
"PF02445","LBCA"
"PF02447","LBCA"
"PF02450","preLBCA"
"PF02452","preLBCA"
"PF02457","LBCA"
"PF02464","LBCA"
"PF02465","LBCA"
"PF02472","LBCA"
"PF02481","LBCA"
"PF02482","LBCA"
"PF02485","preLBCA"
"PF02486","LBCA"
"PF02491","LBCA"
"PF02493","preLBCA"
"PF02494","LBCA"
"PF02498","LBCA"
"PF02508","preLBCA"
"PF02514","LBCA"
"PF02522","preLBCA"
"PF02525","LBCA"
"PF02527","LBCA"
"PF02534","LBCA"
"PF02538","LBCA"
"PF02541","LBCA"
"PF02542","LBCA"
"PF02543","LBCA"
"PF02547","LBCA"
"PF02548","LBCA"
"PF02550","LBCA"
"PF02553","LBCA"
"PF02557","LBCA"
"PF02563","LBCA"
"PF02569","LBCA"
"PF02572","LBCA"
"PF02574","LBCA"
"PF02575","LBCA"
"PF02576","LBCA"
"PF02579","LBCA"
"PF02580","LBCA"
"PF02582","LBCA"
"PF02590","LBCA"
"PF02595","LBCA"
"PF02596","LBCA"
"PF02599","LBCA"
"PF02600","LBCA"
"PF02601","LBCA"
"PF02604","preLBCA"
"PF02609","preLBCA"
"PF02610","preLBCA"
"PF02614","LBCA"
"PF02615","LBCA"
"PF02617","LBCA"
"PF02618","LBCA"
"PF02620","LBCA"
"PF02622","LBCA"
"PF02623","preLBCA"
"PF02624","LBCA"
"PF02625","preLBCA"
"PF02626","LBCA"
"PF02630","LBCA"
"PF02631","LBCA"
"PF02636","LBCA"
"PF02638","LBCA"
"PF02641","LBCA"
"PF02645","LBCA"
"PF02646","preLBCA"
"PF02649","LBCA"
"PF02652","preLBCA"
"PF02654","LBCA"
"PF02656","LBCA"
"PF02659","LBCA"
"PF02660","preLBCA"
"PF02666","LBCA"
"PF02668","LBCA"
"PF02669","LBCA"
"PF02674","preLBCA"
"PF02677","LBCA"
"PF02679","LBCA"
"PF02682","LBCA"
"PF02683","LBCA"
"PF02685","LBCA"
"PF02686","LBCA"
"PF02690","LBCA"
"PF02694","LBCA"
"PF02696","LBCA"
"PF02698","preLBCA"
"PF02699","LBCA"
"PF02702","LBCA"
"PF02705","LBCA"
"PF02706","preLBCA"
"PF02709","LBCA"
"PF02733","LBCA"
"PF02734","LBCA"
"PF02735","LBCA"
"PF02738","preLBCA"
"PF02739","LBCA"
"PF02743","LBCA"
"PF02772","LBCA"
"PF02773","preLBCA"
"PF02776","LBCA"
"PF02789","preLBCA"
"PF02797","preLBCA"
"PF02801","LBCA"
"PF02805","LBCA"
"PF02810","LBCA"
"PF02814","LBCA"
"PF02823","LBCA"
"PF02833","LBCA"
"PF02838","preLBCA"
"PF02839","LBCA"
"PF02861","preLBCA"
"PF02863","LBCA"
"PF02870","LBCA"
"PF02872","LBCA"
"PF02873","LBCA"
"PF02875","preLBCA"
"PF02880","LBCA"
"PF02884","LBCA"
"PF02895","LBCA"
"PF02897","preLBCA"
"PF02900","LBCA"
"PF02901","LBCA"
"PF02906","preLBCA"
"PF02911","preLBCA"
"PF02922","preLBCA"
"PF02927","preLBCA"
"PF02929","LBCA"
"PF02938","LBCA"
"PF02951","LBCA"
"PF02952","LBCA"
"PF02954","LBCA"
"PF02955","LBCA"
"PF02958","LBCA"
"PF02965","LBCA"
"PF02976","LBCA"
"PF03006","LBCA"
"PF03007","LBCA"
"PF03008","LBCA"
"PF03022","LBCA"
"PF03023","LBCA"
"PF03033","LBCA"
"PF03050","LBCA"
"PF03051","LBCA"
"PF03054","LBCA"
"PF03055","LBCA"
"PF03059","LBCA"
"PF03060","LBCA"
"PF03062","preLBCA"
"PF03073","LBCA"
"PF03079","LBCA"
"PF03092","LBCA"
"PF03098","LBCA"
"PF03100","LBCA"
"PF03109","LBCA"
"PF03116","preLBCA"
"PF03118","LBCA"
"PF03119","LBCA"
"PF03135","LBCA"
"PF03147","LBCA"
"PF03150","LBCA"
"PF03160","preLBCA"
"PF03162","LBCA"
"PF03167","LBCA"
"PF03168","LBCA"
"PF03171","LBCA"
"PF03174","LBCA"
"PF03190","LBCA"
"PF03193","LBCA"
"PF03200","LBCA"
"PF03209","LBCA"
"PF03214","LBCA"
"PF03219","LBCA"
"PF03232","LBCA"
"PF03237","preLBCA"
"PF03239","LBCA"
"PF03253","LBCA"
"PF03264","LBCA"
"PF03266","LBCA"
"PF03269","LBCA"
"PF03275","LBCA"
"PF03279","preLBCA"
"PF03306","LBCA"
"PF03308","preLBCA"
"PF03309","LBCA"
"PF03313","LBCA"
"PF03315","LBCA"
"PF03319","LBCA"
"PF03321","LBCA"
"PF03328","LBCA"
"PF03330","LBCA"
"PF03334","LBCA"
"PF03349","preLBCA"
"PF03350","LBCA"
"PF03354","LBCA"
"PF03374","LBCA"
"PF03382","LBCA"
"PF03400","LBCA"
"PF03403","LBCA"
"PF03404","LBCA"
"PF03407","LBCA"
"PF03412","preLBCA"
"PF03422","preLBCA"
"PF03425","LBCA"
"PF03432","LBCA"
"PF03437","LBCA"
"PF03441","LBCA"
"PF03445","LBCA"
"PF03449","LBCA"
"PF03450","LBCA"
"PF03454","preLBCA"
"PF03458","LBCA"
"PF03461","LBCA"
"PF03462","LBCA"
"PF03466","preLBCA"
"PF03471","LBCA"
"PF03475","LBCA"
"PF03476","LBCA"
"PF03480","LBCA"
"PF03481","LBCA"
"PF03484","LBCA"
"PF03486","LBCA"
"PF03496","LBCA"
"PF03534","LBCA"
"PF03544","LBCA"
"PF03547","LBCA"
"PF03553","LBCA"
"PF03559","LBCA"
"PF03561","LBCA"
"PF03567","LBCA"
"PF03572","preLBCA"
"PF03575","LBCA"
"PF03576","LBCA"
"PF03577","LBCA"
"PF03583","LBCA"
"PF03588","LBCA"
"PF03592","LBCA"
"PF03595","LBCA"
"PF03600","LBCA"
"PF03602","LBCA"
"PF03605","LBCA"
"PF03606","LBCA"
"PF03609","LBCA"
"PF03610","LBCA"
"PF03611","LBCA"
"PF03616","preLBCA"
"PF03625","LBCA"
"PF03626","LBCA"
"PF03629","preLBCA"
"PF03631","LBCA"
"PF03632","LBCA"
"PF03633","LBCA"
"PF03636","LBCA"
"PF03640","LBCA"
"PF03641","LBCA"
"PF03644","preLBCA"
"PF03648","LBCA"
"PF03649","LBCA"
"PF03652","LBCA"
"PF03663","LBCA"
"PF03664","LBCA"
"PF03682","LBCA"
"PF03690","LBCA"
"PF03691","LBCA"
"PF03693","LBCA"
"PF03702","LBCA"
"PF03704","LBCA"
"PF03705","preLBCA"
"PF03713","LBCA"
"PF03717","preLBCA"
"PF03724","preLBCA"
"PF03726","preLBCA"
"PF03727","LBCA"
"PF03729","LBCA"
"PF03733","LBCA"
"PF03734","LBCA"
"PF03738","preLBCA"
"PF03739","LBCA"
"PF03740","LBCA"
"PF03741","LBCA"
"PF03743","LBCA"
"PF03745","LBCA"
"PF03746","LBCA"
"PF03748","LBCA"
"PF03749","LBCA"
"PF03750","LBCA"
"PF03755","LBCA"
"PF03764","LBCA"
"PF03767","LBCA"
"PF03772","LBCA"
"PF03779","LBCA"
"PF03781","preLBCA"
"PF03783","preLBCA"
"PF03786","preLBCA"
"PF03788","LBCA"
"PF03793","LBCA"
"PF03796","LBCA"
"PF03797","LBCA"
"PF03799","LBCA"
"PF03806","LBCA"
"PF03808","preLBCA"
"PF03814","LBCA"
"PF03819","LBCA"
"PF03824","preLBCA"
"PF03825","preLBCA"
"PF03830","LBCA"
"PF03837","LBCA"
"PF03840","LBCA"
"PF03841","LBCA"
"PF03848","LBCA"
"PF03851","LBCA"
"PF03853","preLBCA"
"PF03860","LBCA"
"PF03864","preLBCA"
"PF03865","LBCA"
"PF03869","LBCA"
"PF03880","LBCA"
"PF03881","LBCA"
"PF03883","LBCA"
"PF03886","LBCA"
"PF03891","LBCA"
"PF03894","LBCA"
"PF03895","LBCA"
"PF03900","preLBCA"
"PF03901","LBCA"
"PF03924","LBCA"
"PF03928","LBCA"
"PF03929","LBCA"
"PF03932","LBCA"
"PF03938","LBCA"
"PF03948","LBCA"
"PF03949","LBCA"
"PF03951","LBCA"
"PF03958","LBCA"
"PF03959","LBCA"
"PF03960","LBCA"
"PF03961","LBCA"
"PF03966","LBCA"
"PF03968","LBCA"
"PF03975","LBCA"
"PF03976","LBCA"
"PF03977","LBCA"
"PF03988","LBCA"
"PF03994","LBCA"
"PF04002","LBCA"
"PF04007","LBCA"
"PF04011","LBCA"
"PF04012","LBCA"
"PF04018","LBCA"
"PF04020","preLBCA"
"PF04026","LBCA"
"PF04030","preLBCA"
"PF04039","LBCA"
"PF04066","LBCA"
"PF04069","LBCA"
"PF04070","LBCA"
"PF04073","preLBCA"
"PF04074","preLBCA"
"PF04093","LBCA"
"PF04095","preLBCA"
"PF04107","LBCA"
"PF04116","LBCA"
"PF04120","LBCA"
"PF04127","LBCA"
"PF04134","LBCA"
"PF04143","LBCA"
"PF04151","preLBCA"
"PF04166","LBCA"
"PF04168","LBCA"
"PF04170","LBCA"
"PF04172","LBCA"
"PF04183","LBCA"
"PF04185","preLBCA"
"PF04203","LBCA"
"PF04204","LBCA"
"PF04205","LBCA"
"PF04209","LBCA"
"PF04216","LBCA"
"PF04221","LBCA"
